Filepath,Filename,MassIVE,Taxaname_file,Taxa_NCBI,ReDU_Availability,Blank,QC,USI_full,file_usi
MSV000078931/ccms_peak/mzXMLs/140419_psycc1-2_10x_GA2_01_18205.mzXML,MSV000078931/140419_psycc1-2_10x_GA2_01_18205.mzXML,MSV000078931,Psychotria capitata,77871,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycc1-2_10x_GA2_01_18205.mzXML,mzspec:MSV000078931:140419_psycc1-2_10x_GA2_01_18205
MSV000078931/ccms_peak/mzXMLs/140419_psycc1-2_10x_GA2_01_18206.mzXML,MSV000078931/140419_psycc1-2_10x_GA2_01_18206.mzXML,MSV000078931,Psychotria capitata,77871,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycc1-2_10x_GA2_01_18206.mzXML,mzspec:MSV000078931:140419_psycc1-2_10x_GA2_01_18206
MSV000078931/ccms_peak/mzXMLs/140419_psycc1-3_100x_GB3_01_18168.mzXML,MSV000078931/140419_psycc1-3_100x_GB3_01_18168.mzXML,MSV000078931,Psychotria capitata,77871,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycc1-3_100x_GB3_01_18168.mzXML,mzspec:MSV000078931:140419_psycc1-3_100x_GB3_01_18168
MSV000078931/ccms_peak/mzXMLs/140419_psycc1-3_100x_GB3_01_18169.mzXML,MSV000078931/140419_psycc1-3_100x_GB3_01_18169.mzXML,MSV000078931,Psychotria capitata,77871,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycc1-3_100x_GB3_01_18169.mzXML,mzspec:MSV000078931:140419_psycc1-3_100x_GB3_01_18169
MSV000078931/ccms_peak/mzXMLs/140419_psycde-1_100x_GB7_01_18180.mzXML,MSV000078931/140419_psycde-1_100x_GB7_01_18180.mzXML,MSV000078931,Palicourea deflexa,3046986,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycde-1_100x_GB7_01_18180.mzXML,mzspec:MSV000078931:140419_psycde-1_100x_GB7_01_18180
MSV000078931/ccms_peak/mzXMLs/140419_psycde-1_100x_GB7_01_18181.mzXML,MSV000078931/140419_psycde-1_100x_GB7_01_18181.mzXML,MSV000078931,Palicourea deflexa,3046986,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycde-1_100x_GB7_01_18181.mzXML,mzspec:MSV000078931:140419_psycde-1_100x_GB7_01_18181
MSV000078931/ccms_peak/mzXMLs/140419_psycde-2_100x_GB8_01_18183.mzXML,MSV000078931/140419_psycde-2_100x_GB8_01_18183.mzXML,MSV000078931,Palicourea deflexa,3046986,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycde-2_100x_GB8_01_18183.mzXML,mzspec:MSV000078931:140419_psycde-2_100x_GB8_01_18183
MSV000078931/ccms_peak/mzXMLs/140419_psycde-2_100x_GB8_01_18184.mzXML,MSV000078931/140419_psycde-2_100x_GB8_01_18184.mzXML,MSV000078931,Palicourea deflexa,3046986,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycde-2_100x_GB8_01_18184.mzXML,mzspec:MSV000078931:140419_psycde-2_100x_GB8_01_18184
MSV000078931/ccms_peak/mzXMLs/140419_psycde-3_100x_GD1_01_18186.mzXML,MSV000078931/140419_psycde-3_100x_GD1_01_18186.mzXML,MSV000078931,Palicourea deflexa,3046986,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycde-3_100x_GD1_01_18186.mzXML,mzspec:MSV000078931:140419_psycde-3_100x_GD1_01_18186
MSV000078931/ccms_peak/mzXMLs/140419_psycde-3_100x_GD1_01_18187.mzXML,MSV000078931/140419_psycde-3_100x_GD1_01_18187.mzXML,MSV000078931,Palicourea deflexa,3046986,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycde-3_100x_GD1_01_18187.mzXML,mzspec:MSV000078931:140419_psycde-3_100x_GD1_01_18187
MSV000078931/ccms_peak/mzXMLs/140419_psycfu-1_100x_GD3_01_18189.mzXML,MSV000078931/140419_psycfu-1_100x_GD3_01_18189.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycfu-1_100x_GD3_01_18189.mzXML,mzspec:MSV000078931:140419_psycfu-1_100x_GD3_01_18189
MSV000078931/ccms_peak/mzXMLs/140419_psycfu-1_100x_GD3_01_18190.mzXML,MSV000078931/140419_psycfu-1_100x_GD3_01_18190.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycfu-1_100x_GD3_01_18190.mzXML,mzspec:MSV000078931:140419_psycfu-1_100x_GD3_01_18190
